1558807138.500026213 10 -nan -nan 2.42092e-322
1558807196.787540118 0.825399 1.4321 3.51697 2.42092e-322
1558807196.927471300 0.832743 1.45124 3.51697 2.42092e-322
1558807197.070369872 0.841053 1.4722 3.51697 2.42092e-322
1558807197.213212701 0.850053 1.49426 3.51697 3.21143e-322
1558807197.356707331 0.860192 1.51813 3.51697 2.42092e-322
1558807197.500890343 0.870247 1.54081 3.51697 2.42092e-322
1558807197.661466364 0.884166 2.45947 1.1595 1.8231e-321
1558807197.791156753 0.891662 2.47042 1.1595 1.8231e-321
1558807197.926807050 0.898969 2.48095 1.1595 1.63042e-322
1558807198.078103659 0.906756 2.49243 1.1595 2.42092e-322
1558807198.213901538 0.915075 2.50495 1.1595 4.03285e-318
1558807198.357196450 0.924014 2.5187 1.1595 2.42092e-322
1558807198.501126375 0.933677 2.53389 1.1595 1.63042e-322
1558807198.665812688 0.730988 1.15154 1.89032 1.63042e-322
1558807198.796347379 0.736988 1.16299 1.89032 1.8231e-321
1558807198.928369111 0.744301 1.17695 1.89032 2.42092e-322
1558807199.073181974 0.753408 1.19434 1.89032 2.42092e-322
1558807199.214100030 0.765138 1.21673 1.89032 2.42092e-322
1558807199.356187331 0.778131 1.24154 1.89032 1.63042e-322
1558807199.500684078 0.791899 1.26782 1.89032 2.42092e-322
1558807199.651823447 0.807189 1.29701 1.89032 1.8231e-321
1558807199.869204455 1.00558 1.57198 2.51414 1.8231e-321
1558807199.927803250 1.00726 1.56417 2.51414 2.42092e-322
1558807200.073414377 1.00987 1.55919 2.51414 1.8231e-321
1558807200.213847970 1.01196 1.55542 2.51414 1.63042e-322
1558807200.362622566 1.01591 1.55534 2.51414 1.8231e-321
1558807200.499018593 1.02031 1.55795 2.51414 2.42092e-322
